numero_da_ocorrencia,classificacao_da_ocorrencia,data_da_ocorrencia,municipio,uf,regiao,tipo_de_ocorrencia,categoria_da_aeronave,fase_da_operacao,tipo_de_operacao,danos_a_aeronave,modelo,nome_do_fabricante,lesoes_fatais,lesoes_graves,lesoes_leves,ilesos,lesoes_desconhecidas,ano_da_ocorrencia,categoria_descritivo,danos_aeronave
1747,Incidente Grave,2011-02-05,,RJ,Sudeste,COMBUSTÍVEL,TPX,Não informado,Táxi Aéreo,Não informado,S-76A,SIKORSKY AIRCRAFT,0,0.0,0,0,0,2011,Particular Experimental,1 - Não informado
1746,Acidente,2011-02-04,,BA,Nordeste,OUTROS,TPP,Não informado,Voo Privado,Não informado,EMB-710C,NEIVA,1,0.0,1,0,0,2011,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
1744,Acidente,2011-02-04,,SP,Sudeste,COMBUSTÍVEL,TPP,Não informado,Voo Privado,Não informado,SR22,CIRRUS DESIGN,0,0.0,0,3,0,2011,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
1728,Acidente,2011-01-31,,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,S05,Especializada,Operação Agrícola,Não informado,PA-25-235,PIPER AIRCRAFT,0,0.0,0,1,0,2011,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",1 - Não informado
1390,Acidente,2010-11-13,,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,ESTRANGEIRA,Não informado,Voo Privado,Não informado,,,0,0.0,2,0,0,2010,Não informado,1 - Não informado
1383,Acidente,2010-11-09,,SC,Sul,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PET,Não informado,Voo Privado,Não informado,STOL CH 701,AEROBRAVO,0,0.0,1,2,0,2010,Protótipo Experimental,1 - Não informado
1382,Acidente,2010-11-09,,BA,Nordeste,OUTROS,TPP,Não informado,Voo Privado,Não informado,SR20,CIRRUS DESIGN,1,0.0,0,4,0,2010,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
1375,Acidente,2010-11-08,,MS,Centro-Oeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,ESTRANGEIRA,Não informado,Táxi Aéreo,Não informado,,,0,2.0,0,3,0,2010,Não informado,1 - Não informado
1370,Acidente,2010-11-05,,SP,Sudeste,OUTROS,TPX,Não informado,Táxi Aéreo,Não informado,208B,CESSNA AIRCRAFT,0,0.0,0,2,0,2010,Particular Experimental,1 - Não informado
1370,Acidente,2010-11-05,,SP,Sudeste,EXCURSÃO DE PISTA,TPX,Não informado,Táxi Aéreo,Não informado,208B,CESSNA AIRCRAFT,0,0.0,0,2,0,2010,Particular Experimental,1 - Não informado
1050,Acidente,2010-07-20,,TO,Norte,PERDA DE CONTROLE EM VOO,TPP,Não informado,Voo Privado,Não informado,172,CESSNA AIRCRAFT,0,2.0,1,0,0,2010,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
1046,Acidente,2010-07-19,,DF,Centro-Oeste,CONTATO ANORMAL COM A PISTA,TPP,Não informado,Voo Privado,Não informado,SR22,CIRRUS DESIGN,0,0.0,0,2,0,2010,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
1044,Acidente,2010-07-18,,MT,Centro-Oeste,VOO CONTROLADO CONTRA O TERRENO,TPP,Não informado,Voo Privado,Não informado,EMB-711C,NEIVA,2,0.0,0,0,0,2010,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
2058,Acidente,2011-05-03,,PR,Sul,OPERAÇÃO A BAIXA ALTITUDE,S05,Não informado,Operação Agrícola,Não informado,PA-36-300,PIPER AIRCRAFT,0,0.0,0,1,0,2011,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",1 - Não informado
2050,Acidente,2011-05-02,,SP,Sudeste,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,TPP,Não informado,Voo Privado,Não informado,HB-350B,HELIBRAS,0,2.0,1,0,0,2011,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
