numero_da_ocorrencia,classificacao_da_ocorrencia,data_da_ocorrencia,municipio,uf,regiao,tipo_de_ocorrencia,categoria_da_aeronave,fase_da_operacao,tipo_de_operacao,danos_a_aeronave,modelo,nome_do_fabricante,lesoes_fatais,lesoes_graves,lesoes_leves,ilesos,lesoes_desconhecidas,ano_da_ocorrencia,categoria_descritivo,danos_aeronave
30125,Acidente,2021-11-07,SÃO JOSÉ DE MIPIBU,RN,Nordeste,PERDA DE CONTROLE EM VOO,PET,Arremetida,Voo Privado,Destruída,Adventure,Trike Icaros Ind. Aeronáutica Ltda,0,,0,0,0,2021,Protótipo Experimental,6 - Destruída
33226,Acidente,2022-07-27,CONDEÚBA,BA,Nordeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,ADE,Corrida após pouso,Voo não regular,Substancial,EMB-810D,NEIVA,0,,0,0,0,2022,Aeronave de Demonstração,5 - Substancial
28923,Acidente,2021-07-24,TUPI PAULISTA,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,PET,Cruzeiro,Voo Privado,Substancial,PIX,SERGIO LEMOS SOLHA,0,,0,0,0,2021,Protótipo Experimental,5 - Substancial
28927,Incidente Grave,2021-07-25,BRAGANÇA PAULISTA,SP,Sudeste,MANOBRA ABRUPTA,PRI,Arremetida,Voo de Instrução,Leve,PA-11,PIPER AIRCRAFT,0,,0,0,0,2021,Privada Instrução (Aeroclubes e Escolas de Aviação),4 - Leve
37288,Incidente Grave,2023-05-16,SÃO DESIDÉRIO ,BA,Nordeste,EXCURSÃO DE PISTA,TPP,Corrida após pouso,Operação Agrícola,Leve,AT-502B,AIR TRACTOR,0,,0,0,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),4 - Leve
45568,Acidente,2024-04-09,SANTA CRUZ DO RIO PARDO,SP,Sudeste,RELACIONADO COM SECURITY,TPP,Indeterminada,Voo Privado,Substancial,182J,CESSNA AIRCRAFT,0,,0,0,0,2024,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
45901,Acidente,2024-06-04,NOVO SÃO JOAQUIM,MT,Centro-Oeste,OUTROS,TPP,Decolagem,Operação Agrícola,Substancial,EMB-202A,EMBRAER,0,,0,0,0,2024,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
45901,Acidente,2024-06-04,NOVO SÃO JOAQUIM,MT,Centro-Oeste,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,TPP,Decolagem,Operação Agrícola,Substancial,EMB-202A,EMBRAER,0,,0,0,0,2024,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
28728,Acidente,2021-07-09,BRAGANÇA PAULISTA,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,PRI,Subida,Voo de Instrução,Substancial,56-C-1,NEIVA,0,,0,0,0,2021,Privada Instrução (Aeroclubes e Escolas de Aviação),5 - Substancial
28723,Acidente,2021-07-04,ONÇA DE PITANGUI,MG,Sudeste,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,TPP,Táxi,Voo Privado,Substancial,EC 130 T2,AIRBUS HELICOPTERS,0,,0,0,0,2021,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
28726,Incidente Grave,2021-07-10,PORTO SEGURO,BA,Nordeste,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,TPP,Aproximação,Voo Privado,Substancial,B200GT,TEXTRON AVIATION,0,,0,0,0,2021,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
31626,Acidente,2022-03-24,IPIRANGA DO NORTE,MT,Centro-Oeste,OPERAÇÃO A BAIXA ALTITUDE,S11,Manobra,Operação Agrícola,Substancial,EMB-201A,NEIVA,0,,0,0,0,2022,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",5 - Substancial
40586,Acidente,2023-11-21,ALEGRETE ,RS,Sul,VOO CONTROLADO CONTRA O TERRENO,S11,Cruzeiro,Operação Agrícola,Substancial,EMB-202,EMBRAER,0,,0,0,0,2023,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",5 - Substancial
28726,Incidente Grave,2021-07-10,PORTO SEGURO,BA,Nordeste,CORTANTE DE VENTO / TEMPESTADE,TPP,Aproximação,Voo Privado,Substancial,B200GT,TEXTRON AVIATION,0,,0,0,0,2021,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
29043,Incidente Grave,2021-08-05,ELDORADO DO SUL,RS,Sul,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PRI,Pouso,Voo Privado,Leve,PA-30,PIPER AIRCRAFT,0,,0,0,0,2021,Privada Instrução (Aeroclubes e Escolas de Aviação),4 - Leve
34266,Acidente,2022-09-21,ENGENHEIRO CALDAS,MG,Sudeste,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,M48,Aproximação,Táxi Aéreo,Substancial,R44 II,ROBINSON HELICOPTER,0,,0,0,0,2022,Aeronaves de Construção Amadora (Vários modelos e pesos),5 - Substancial
44926,Acidente,2024-04-03,FORMOSA DO RIO PRETO,BA,Nordeste,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,TPP,Decolagem,Operação Agrícola,Substancial,AT-502B,AIR TRACTOR,0,,0,0,0,2024,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
34266,Acidente,2022-09-21,ENGENHEIRO CALDAS,MG,Sudeste,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,M48,Aproximação,Táxi Aéreo,Substancial,R44 II,ROBINSON HELICOPTER,0,,0,0,0,2022,Aeronaves de Construção Amadora (Vários modelos e pesos),5 - Substancial
34267,Incidente Grave,2022-10-01,NAVIRAÍ,MS,Centro-Oeste,EXCURSÃO DE PISTA,S11,Decolagem,Operação Agrícola,Leve,T188C,CESSNA AIRCRAFT,0,,0,0,0,2022,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",4 - Leve
34267,Incidente Grave,2022-10-01,NAVIRAÍ,MS,Centro-Oeste,PERDA DE CONTROLE NO SOLO,S11,Decolagem,Operação Agrícola,Leve,T188C,CESSNA AIRCRAFT,0,,0,0,0,2022,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",4 - Leve
34269,Incidente Grave,2022-09-30,GOIÂNIA,GO,Centro-Oeste,PERDA DE CONTROLE NO SOLO,PRI,Corrida após pouso,Voo Privado,Nenhum,150L,CESSNA AIRCRAFT,0,,0,0,0,2022,Privada Instrução (Aeroclubes e Escolas de Aviação),3 - Nenhum
34269,Incidente Grave,2022-09-30,GOIÂNIA,GO,Centro-Oeste,EXCURSÃO DE PISTA,PRI,Corrida após pouso,Voo Privado,Nenhum,150L,CESSNA AIRCRAFT,0,,0,0,0,2022,Privada Instrução (Aeroclubes e Escolas de Aviação),3 - Nenhum
44926,Acidente,2024-04-03,FORMOSA DO RIO PRETO,BA,Nordeste,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,TPP,Decolagem,Operação Agrícola,Substancial,AT-502B,AIR TRACTOR,0,,0,0,0,2024,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
27604,Acidente,2021-03-20,CASCAVEL,PR,Sul,PERDA DE CONTROLE EM VOO,PET,Decolagem,Voo Privado,Substancial,ASTORE,Construzioni Aeronautiche TECNAM Srl,0,,0,0,0,2021,Protótipo Experimental,5 - Substancial
27605,Incidente Grave,2021-03-22,JI-PARANÁ,RO,Norte,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,TPP,Pouso,Voo Privado,Leve,MU-2B-25,MITSUBISHI,0,,0,3,0,2021,Privada (Transporte de Pessoas e Bens sem fins lucrativos),4 - Leve
29145,Acidente,2021-08-08,POCONÉ,MT,Centro-Oeste,COMBUSTÍVEL,TPP,Cruzeiro,Voo Privado,Substancial,EMB-711C,NEIVA,0,,0,0,0,2021,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
29445,Incidente Grave,2021-08-28,VILA VELHA,ES,Sudeste,EXCURSÃO DE PISTA,PET,Pouso,Voo Experimental,Leve,DYNAMIC WT9,EDRA AERONÁUTICA LTDA,0,,0,0,0,2021,Protótipo Experimental,4 - Leve
28583,Acidente,2021-06-28,JEQUITAÍ,MG,Sudeste,VOO CONTROLADO CONTRA O TERRENO,ADE,Pouso,Operação Pública,Substancial,AS 350 B3,AIRBUS HELICOPTERS,0,,0,3,0,2021,Aeronave de Demonstração,5 - Substancial
29145,Acidente,2021-08-08,POCONÉ,MT,Centro-Oeste,COMBUSTÍVEL,TPP,Cruzeiro,Voo Privado,Substancial,EMB-711C,NEIVA,0,,0,0,0,2021,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
37066,Incidente Grave,2023-04-14,CASA NOVA,BA,Nordeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,AMD,Cruzeiro,Voo Experimental,Leve,CAP-TAIN,EVALDO TORRES SANTOS,0,,0,2,0,2023,Aeronave de Montagem por Distribuidor,4 - Leve
37090,Incidente Grave,2023-04-12,CABO FRIO,RJ,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,AMD,Cruzeiro,Voo Privado,Nenhum,P2004 BRAVO,TECNAM,0,,0,2,0,2023,Aeronave de Montagem por Distribuidor,3 - Nenhum
37970,Acidente,2023-07-03,GUARATUBA ,PR,Sul,VOO CONTROLADO CONTRA O TERRENO,TPP,Cruzeiro,Voo Privado,Substancial,PA-28R-200,PIPER AIRCRAFT,0,,0,0,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
35287,Acidente,2022-12-04,MANAUS,AM,Norte,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,TPP,Pouso,Voo Privado,Substancial,PA-32R-301T,PIPER AIRCRAFT,0,,0,3,0,2022,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
35287,Acidente,2022-12-04,MANAUS,AM,Norte,EXCURSÃO DE PISTA,TPP,Pouso,Voo Privado,Substancial,PA-32R-301T,PIPER AIRCRAFT,0,,0,3,0,2022,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
39890,Incidente Grave,2023-10-09,CURITIBA,PR,Sul,EXCURSÃO DE PISTA,PRI,Pouso,Voo de Instrução,Leve,AB-115,AERO BOERO,0,,0,0,0,2023,Privada Instrução (Aeroclubes e Escolas de Aviação),4 - Leve
40008,Acidente,2023-10-27,TRINDADE ,GO,Centro-Oeste,OPERAÇÃO A BAIXA ALTITUDE,,Indeterminada,,Substancial,,,0,,0,0,0,2023,Não informado,5 - Substancial
45153,Acidente,2024-04-16,BURITI,MA,Nordeste,PERDA DE CONTROLE NO SOLO,S05,Decolagem,Operação Agrícola,Substancial,EMB-202A,EMBRAER,0,,0,0,0,2024,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",5 - Substancial
45153,Acidente,2024-04-16,BURITI,MA,Nordeste,EXCURSÃO DE PISTA,S05,Decolagem,Operação Agrícola,Substancial,EMB-202A,EMBRAER,0,,0,0,0,2024,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",5 - Substancial
36473,Acidente,2023-02-28,GOIÂNIA ,GO,Centro-Oeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,TPP,Decolagem,Voo Privado,Substancial,DA 62,DIAMOND AIRCRAFT,0,,0,0,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
37155,Acidente,2023-04-28,JOANÓPOLIS ,SP,Sudeste,OUTROS,TPP,Cruzeiro,Voo Privado,Substancial,SR22,CIRRUS DESIGN,0,,0,3,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
37155,Acidente,2023-04-28,JOANÓPOLIS ,SP,Sudeste,OUTROS,TPP,Cruzeiro,Voo Privado,Substancial,SR22,CIRRUS DESIGN,0,,0,3,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
37155,Acidente,2023-04-28,JOANÓPOLIS ,SP,Sudeste,OUTROS,TPP,Cruzeiro,Voo Privado,Substancial,SR22,CIRRUS DESIGN,0,,0,3,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
37241,Acidente,2023-05-06,BOA VISTA,RR,Norte,PERDA DE CONTROLE EM VOO,AMD,Aproximação,Voo Privado,Substancial,PARADISE P1,FABIO LUIZ DE ALMEIDA,0,,0,3,0,2023,Aeronave de Montagem por Distribuidor,5 - Substancial
37266,Acidente,2023-05-05,LAGES,SC,Sul,CONTATO ANORMAL COM A PISTA,ADE,Pouso,Voo de Instrução,Substancial,EMB-820C CARAJA,EMBRAER,0,,0,0,0,2023,Aeronave de Demonstração,5 - Substancial
37321,Acidente,2023-05-18,CANARANA ,MT,Centro-Oeste,OPERAÇÃO A BAIXA ALTITUDE,TPP,Manobra,Voo Privado,Substancial,EMB-202,NEIVA,0,,0,0,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
37321,Acidente,2023-05-18,CANARANA ,MT,Centro-Oeste,PERDA DE CONTROLE EM VOO,TPP,Manobra,Voo Privado,Substancial,EMB-202,NEIVA,0,,0,0,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
37506,Acidente,2023-06-03,LUZIÂNIA ,GO,Centro-Oeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,PRI,Manobra,Voo de Instrução,Substancial,A-122-A,XAVANTE,0,,0,0,0,2023,Privada Instrução (Aeroclubes e Escolas de Aviação),5 - Substancial
31328,Acidente,2022-02-16,BRAGANÇA PAULISTA,SP,Sudeste,PERDA DE CONTROLE NO SOLO,PRI,Corrida após pouso,Voo de Instrução,Substancial,CAP-4,CIA AERONAUTICA PAULISTA,0,,0,0,0,2022,Privada Instrução (Aeroclubes e Escolas de Aviação),5 - Substancial
33510,Incidente Grave,2022-08-12,GOIÂNIA,GO,Centro-Oeste,OUTROS,TPP,Pouso,Voo Privado,Nenhum,58,BEECH AIRCRAFT,0,,0,0,0,2022,Privada (Transporte de Pessoas e Bens sem fins lucrativos),3 - Nenhum
33448,Acidente,2022-08-07,GOIÂNIA,GO,Centro-Oeste,PERDA DE CONTROLE NO SOLO,TPX,Corrida após pouso,Táxi Aéreo,Substancial,1124,ISRAEL AIRCRAFT,0,,0,3,0,2022,Particular Experimental,5 - Substancial
33448,Acidente,2022-08-07,GOIÂNIA,GO,Centro-Oeste,EXCURSÃO DE PISTA,TPX,Corrida após pouso,Táxi Aéreo,Substancial,1124,ISRAEL AIRCRAFT,0,,0,3,0,2022,Particular Experimental,5 - Substancial
33509,Incidente Grave,2022-08-13,SALVADOR,BA,Nordeste,EXCURSÃO DE PISTA,TPP,Corrida após pouso,Voo Privado,Leve,EMB-500,EMBRAER,0,,0,8,0,2022,Privada (Transporte de Pessoas e Bens sem fins lucrativos),4 - Leve
33509,Incidente Grave,2022-08-13,SALVADOR,BA,Nordeste,PERDA DE CONTROLE NO SOLO,TPP,Corrida após pouso,Voo Privado,Leve,EMB-500,EMBRAER,0,,0,8,0,2022,Privada (Transporte de Pessoas e Bens sem fins lucrativos),4 - Leve
33510,Incidente Grave,2022-08-12,GOIÂNIA,GO,Centro-Oeste,OUTROS,TPP,Pouso,Voo Privado,Nenhum,58,BEECH AIRCRAFT,0,,0,0,0,2022,Privada (Transporte de Pessoas e Bens sem fins lucrativos),3 - Nenhum
37386,Acidente,2023-05-23,COCOS ,BA,Nordeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,S05,Voo a baixa altura,Operação Agrícola,Substancial,EMB-202A,EMBRAER,0,,0,0,0,2023,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",5 - Substancial
37446,Acidente,2023-05-30,ATIBAIA ,SP,Sudeste,CONTATO ANORMAL COM A PISTA,PRI,Procedimento de Aproximação,Voo de Instrução,Substancial,152,CESSNA AIRCRAFT,0,,0,0,0,2023,Privada Instrução (Aeroclubes e Escolas de Aviação),5 - Substancial
39228,Acidente,2023-10-04,RIO BRILHANTE,MS,Centro-Oeste,INDETERMINADO,S05,Aproximação,Voo Privado,Substancial,AT-502,AIR TRACTOR,0,,0,0,0,2023,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",5 - Substancial
31065,Acidente,2022-01-29,MAÇAMBARÁ,RS,Sul,PERDA DE CONTROLE EM VOO,S05,Pouso,Operação Agrícola,Substancial,EMB-202,NEIVA,0,,0,0,0,2022,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",5 - Substancial
31065,Acidente,2022-01-29,MAÇAMBARÁ,RS,Sul,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,S05,Pouso,Operação Agrícola,Substancial,EMB-202,NEIVA,0,,0,0,0,2022,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",5 - Substancial
33346,Incidente Grave,2022-08-02,MONTES CLAROS,MG,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,TPP,Corrida após pouso,Voo Privado,Leve,EMB-810C,EMBRAER,0,,0,0,0,2022,Privada (Transporte de Pessoas e Bens sem fins lucrativos),4 - Leve
33347,Incidente Grave,2022-08-04,LONDRINA,PR,Sul,EXCURSÃO DE PISTA,TPP,Pouso,Voo Privado,Leve,EMB-810D,EMBRAER,0,,0,5,0,2022,Privada (Transporte de Pessoas e Bens sem fins lucrativos),4 - Leve
33347,Incidente Grave,2022-08-04,LONDRINA,PR,Sul,CONTATO ANORMAL COM A PISTA,TPP,Pouso,Voo Privado,Leve,EMB-810D,EMBRAER,0,,0,5,0,2022,Privada (Transporte de Pessoas e Bens sem fins lucrativos),4 - Leve
34749,Acidente,2022-10-22,RIO DE JANEIRO,RJ,Sudeste,COLISÃO COM AVE,D15,Cruzeiro,Táxi Aéreo,Substancial,R66,ROBINSON HELICOPTER,0,,0,5,0,2022,Aeronaves de Decolagem por meios próprios / Autogiros,5 - Substancial
35148,Acidente,2022-11-25,PORTO NACIONAL,TO,Norte,CORTANTE DE VENTO / TEMPESTADE,M43,Cruzeiro,Operação Policial,Substancial,AS 365 N2,EUROCOPTER FRANCE,0,,0,0,0,2022,Aeronaves de Construção Amadora (Vários modelos e pesos),5 - Substancial
35148,Acidente,2022-11-25,PORTO NACIONAL,TO,Norte,VOO CONTROLADO CONTRA O TERRENO,M43,Cruzeiro,Operação Policial,Substancial,AS 365 N2,EUROCOPTER FRANCE,0,,0,0,0,2022,Aeronaves de Construção Amadora (Vários modelos e pesos),5 - Substancial
36266,Acidente,2023-01-25,ITURAMA ,MG,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,S05,Manobra,Operação Agrícola,Substancial,EMB-202A,EMBRAER,0,,0,0,0,2023,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",5 - Substancial
37769,Incidente Grave,2023-06-13,ALTO ARAGUAIA ,MT,Centro-Oeste,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,TPP,Decolagem,Voo Privado,Leve,AT-802A,AIR TRACTOR,0,,0,0,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),4 - Leve
37769,Incidente Grave,2023-06-13,ALTO ARAGUAIA ,MT,Centro-Oeste,EXCURSÃO DE PISTA,TPP,Decolagem,Voo Privado,Leve,AT-802A,AIR TRACTOR,0,,0,0,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),4 - Leve
37989,Incidente Grave,2023-07-15,SOROCABA ,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,AMD,Decolagem,Voo Privado,Leve,RV-10,SARI MARIANA COSTA GASPAR,0,,0,2,0,2023,Aeronave de Montagem por Distribuidor,4 - Leve
33508,Incidente Grave,2021-10-01,CAMPO NOVO DO PARECIS,MT,Centro-Oeste,EXCURSÃO DE PISTA,PET,Decolagem,Voo Experimental,Leve,EXPLORER,INPAER INDÚSTRIA PAULISTA DE AERONÁUTICA,0,,0,0,0,2021,Protótipo Experimental,4 - Leve
34706,Incidente Grave,2022-10-26,SÃO JOSÉ DOS CAMPOS,SP,Sudeste,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,TPP,Procedimento de Aproximação,Voo Privado,Nenhum,A109E,AGUSTA,0,,0,0,0,2022,Privada (Transporte de Pessoas e Bens sem fins lucrativos),3 - Nenhum
36469,Incidente Grave,2023-02-27,CAMPINAS ,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,AMD,Aproximação,Voo Experimental,Nenhum,Conquest 180,INPAER - Indústria Paulista de Partes e,0,,0,2,0,2023,Aeronave de Montagem por Distribuidor,3 - Nenhum
36469,Incidente Grave,2023-02-27,CAMPINAS ,SP,Sudeste,OUTROS,AMD,Aproximação,Voo Experimental,Nenhum,Conquest 180,INPAER - Indústria Paulista de Partes e,0,,0,2,0,2023,Aeronave de Montagem por Distribuidor,3 - Nenhum
34706,Incidente Grave,2022-10-26,SÃO JOSÉ DOS CAMPOS,SP,Sudeste,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,TPP,Procedimento de Aproximação,Voo Privado,Nenhum,A109E,AGUSTA,0,,0,0,0,2022,Privada (Transporte de Pessoas e Bens sem fins lucrativos),3 - Nenhum
34706,Incidente Grave,2022-10-26,SÃO JOSÉ DOS CAMPOS,SP,Sudeste,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,TPP,Procedimento de Aproximação,Voo Privado,Nenhum,BK117 D-3,AIRBUS HELICOPTERS DEUTSCHLAND,0,,0,0,0,2022,Privada (Transporte de Pessoas e Bens sem fins lucrativos),3 - Nenhum
37907,Acidente,2023-06-29,ITARUMÃ ,GO,Centro-Oeste,PERDA DE CONTROLE NO SOLO,TPP,Pouso,Voo Privado,Substancial,182S,CESSNA AIRCRAFT,0,,0,3,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
27363,Acidente,2021-02-26,,Indeterminado,,INDETERMINADO,TPP,Indeterminada,Voo Privado,Desconhecida,182N,CESSNA AIRCRAFT,0,,0,0,0,2021,Privada (Transporte de Pessoas e Bens sem fins lucrativos),2 - Desconhecida
37907,Acidente,2023-06-29,ITARUMÃ ,GO,Centro-Oeste,EXCURSÃO DE PISTA,TPP,Pouso,Voo Privado,Substancial,182S,CESSNA AIRCRAFT,0,,0,3,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
40072,Acidente,2023-11-09,RESERVA DO CABAÇAL,MT,Centro-Oeste,RELACIONADO COM SECURITY,,Não informado,,Não informado,,,0,,0,0,0,2023,Não informado,1 - Não informado
40072,Acidente,2023-11-09,RESERVA DO CABAÇAL,MT,Centro-Oeste,INDETERMINADO,,Não informado,,Não informado,,,0,,0,0,0,2023,Não informado,1 - Não informado
27885,Incidente Grave,2021-04-13,SANTA ROSA DO PURUS,AC,Norte,EXCURSÃO DE PISTA,TPP,Corrida após pouso,Voo Privado,Nenhum,EMB-810C,EMBRAER,0,,0,0,0,2021,Privada (Transporte de Pessoas e Bens sem fins lucrativos),3 - Nenhum
39230,Acidente,2023-10-02,CAMPO GRANDE,MS,Centro-Oeste,COMBUSTÍVEL,ADE,Cruzeiro,Operação Policial,Substancial,T210N,CESSNA AIRCRAFT,0,,0,5,0,2023,Aeronave de Demonstração,5 - Substancial
41686,Acidente,2024-01-06,LENÇÓIS PAULISTA ,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PRI,Indeterminada,Voo de Instrução,Substancial,ASW20,ALEXANDER SCHLEICHER,0,,0,0,0,2024,Privada Instrução (Aeroclubes e Escolas de Aviação),5 - Substancial
27887,Acidente,2021-04-12,NOVA MUTUM,MT,Centro-Oeste,PERDA DE CONTROLE NO SOLO,S05,Pouso,Operação Agrícola,Substancial,S2R-H80,THRUSH AIRCRAFT,0,,0,0,0,2021,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",5 - Substancial
27887,Acidente,2021-04-12,NOVA MUTUM,MT,Centro-Oeste,EXCURSÃO DE PISTA,S05,Pouso,Operação Agrícola,Substancial,S2R-H80,THRUSH AIRCRAFT,0,,0,0,0,2021,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",5 - Substancial
27892,Incidente Grave,2021-04-15,PONTA PORÃ,MS,Centro-Oeste,OPERAÇÃO A BAIXA ALTITUDE,D15,Cruzeiro,Voo Privado,Nenhum,R66,ROBINSON HELICOPTER,0,,0,0,0,2021,Aeronaves de Decolagem por meios próprios / Autogiros,3 - Nenhum
38907,Acidente,2023-09-21,BRASILÂNDIA,MS,Centro-Oeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,TPP,Pouso,Voo Privado,Substancial,210N,CESSNA AIRCRAFT,0,,0,4,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
27894,Incidente Grave,2021-04-01,CASTANHEIRA,MT,Centro-Oeste,INDETERMINADO,TPP,Cruzeiro,Voo Privado,Leve,EMB-720C,NEIVA,0,,0,0,0,2021,Privada (Transporte de Pessoas e Bens sem fins lucrativos),4 - Leve
38907,Acidente,2023-09-21,BRASILÂNDIA,MS,Centro-Oeste,EXCURSÃO DE PISTA,TPP,Pouso,Voo Privado,Substancial,210N,CESSNA AIRCRAFT,0,,0,4,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
33949,Acidente,2022-09-02,NAVEGANTES,SC,Sul,OPERAÇÕES NO SOLO,PET,Partida do motor,Voo Privado,Leve,BRAVO 700,AERO BRAVO,0,,0,0,0,2022,Protótipo Experimental,4 - Leve
34347,Incidente Grave,2022-10-09,SÃO PAULO,SP,Sudeste,EXCURSÃO DE PISTA,TPP,Corrida após pouso,Voo Privado,Leve,45 (LEARJET 75),LEARJET,0,,0,5,0,2022,Privada (Transporte de Pessoas e Bens sem fins lucrativos),4 - Leve
37627,Acidente,2023-06-01,SÃO PAULO ,SP,Sudeste,OUTROS,ADE,Pouso,Operação Policial,Nenhum,AS 350 B2,HELIBRAS,0,,0,5,0,2023,Aeronave de Demonstração,3 - Nenhum
41888,Acidente,2023-12-31,PARAIBUNA,SP,Sudeste,INDETERMINADO,TPP,Cruzeiro,,Substancial,R44,ROBINSON HELICOPTER,0,,0,0,0,2023,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
30303,Acidente,2021-11-11,LAGOA DA CONFUSÃO,TO,Norte,PERDA DE CONTROLE EM VOO,S05,Manobra,Operação Agrícola,Substancial,EMB-201A,NEIVA,0,,0,0,0,2021,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",5 - Substancial
31793,Acidente,2022-04-06,ESPIGÃO D'OESTE,RO,Norte,INDETERMINADO,TPP,Indeterminada,Operação Agrícola,Substancial,EMB-201,NEIVA,0,,0,0,0,2022,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
33046,Acidente,2022-07-13,MUCAJAÍ,RR,Norte,INDETERMINADO,TPP,Outras,Voo Privado,Destruída,182P,CESSNA AIRCRAFT,0,,0,0,0,2022,Privada (Transporte de Pessoas e Bens sem fins lucrativos),6 - Destruída
42076,Acidente,2024-01-21,ANGRA DOS REIS,RJ,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,TPP,Pouso,Operação Especializada,Substancial,SF50,CIRRUS DESIGN,0,,0,7,0,2024,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
